Laser id,Elevation,Azimuth
1,14.882,-1.042
2,11.032,-1.042
3,8.059,-1.042
4,5.057,-1.042
5,3.040,-1.042
6,2.028,-1.042
7,1.860,1.042
8,1.688,3.125
9,1.522,5.208
10,1.351,-5.208
11,1.184,-3.125
12,1.013,-1.042
13,0.846,1.042
14,0.675,3.125
15,0.508,5.208
16,0.337,-5.208
17,0.169,-3.125
18,0.000,-1.042
19,-0.169,1.042
20,-0.337,3.125
21,-0.508,5.208
22,-0.675,-5.208
23,-0.845,-3.125
24,-1.013,-1.042
25,-1.184,1.042
26,-1.351,3.125
27,-1.522,5.208
28,-1.688,-5.208
29,-1.860,-3.125
30,-2.028,-1.042
31,-2.198,1.042
32,-2.365,3.125
33,-2.536,5.208
34,-2.700,-5.208
35,-2.873,-3.125
36,-3.040,-1.042
37,-3.210,1.042
38,-3.375,3.125
39,-3.548,5.208
40,-3.712,-5.208
41,-3.884,-3.125
42,-4.050,-1.042
43,-4.221,1.042
44,-4.385,3.125
45,-4.558,5.208
46,-4.720,-5.208
47,-4.892,-3.125
48,-5.057,-1.042
49,-5.229,1.042
50,-5.391,3.125
51,-5.565,5.208
52,-5.726,-5.208
53,-5.898,-3.125
54,-6.061,-1.042
55,-7.063,-1.042
56,-8.059,-1.042
57,-9.060,-1.042
58,-9.885,-1.042
59,-11.032,-1.042
60,-12.006,-1.042
61,-12.974,-1.042
62,-13.930,-1.042
63,-18.889,-1.042
64,-24.897,-1.042
